Gene.symbol	Gene.ID	adj.P.Val	logFC
STEAP4	79689	2.3076624063811e-25	5.21382040227778
CLEC6A	93978	1.32965973863439e-23	3.90374352805556
KIT	3815	1.32965973863439e-23	-5.93137807372222
STMN1	3925	5.53935775352026e-22	-4.33719421677778
WLS	79971	2.40612187028462e-21	3.82429199305556
ARSG	22901	6.90410562775196e-21	2.55947079794444
PID1	55022	6.90410562775196e-21	4.51042408366667
TYMS	7298	1.13164691027599e-19	-4.65079884055556
KIAA0101	9768	1.29389180676277e-19	-5.71632108444445
SLC46A2	57864	1.99366786358143e-19	2.81230648716667
PLA2G7	7941	2.02859596592764e-19	5.04615385011111
CPXM1	56265	2.02859596592764e-19	-4.02244866777778
SLC38A1	81539	4.91147419705125e-19	-4.50307048872222
DEPTOR	64798	1.06694568293927e-18	-3.67998719716667
MYB///MYB	4602///4602	5.65682120102724e-18	-3.73213162511111
WEE1	7465	8.97292894138971e-18	-3.57760845272223
SLC24A4	123041	9.06027465691133e-18	3.04069401355556
MCM2	4171	1.15116481709022e-17	-2.74258148027778
CYP27A1	1593	3.31597292729581e-17	4.05556339544445
SLC35F2	54733	4.8687454725695e-17	-3.51390348666667
ERG	2078	4.96546314719979e-17	-3.84659961155556
ADGRE3	84658	5.799066849865e-17	3.87293025888889
FLT3	2322	1.59455050779245e-16	-3.47029807655556
HIST1H1B	3009	2.42190339272132e-16	-5.38391744005556
ALDH18A1	5832	3.37124552548627e-16	-3.96767261722222
HIST1H3B	8358	4.51651465794022e-16	-5.40613475133333
ANKRD28	23243	5.1834250604008e-16	-3.87291860205556
DTL	51514	7.1049697627662e-16	-4.69172871083333
MSRB3	253827	7.67235785962945e-16	-3.76966463527778
CLEC4E	26253	1.0751115594202e-15	4.97631002577778
HNMT	3176	1.0751115594202e-15	3.28372489738889
SMARCD3	6604	1.18694467894196e-15	2.28127717672222
MAK	4117	2.01181289560995e-15	1.7446778435
CDCA7L	55536	2.01704886846843e-15	-4.11945463738889
		2.56832092817381e-15	3.23768843527778
CDA	978	2.56832092817381e-15	3.71651624355556
MCM6	4175	2.81503365465413e-15	-3.49253291144445
GUCY1A3	2982	3.09185213298759e-15	-4.24003670511111
		5.16582384490578e-15	-2.28520124272222
HELLS	3070	5.16582384490578e-15	-3.28466200383334
ADGRD1	283383	5.40733909065082e-15	2.01865393044444
GLT1D1	144423	5.90522649521689e-15	4.40779002066667
CCND2	894	5.90522649521689e-15	-3.20945863211111
TNFSF12-TNFSF13///TNFSF12///TNFSF13	407977///8742///8741	6.24699861240995e-15	1.92683946611111
OLFM1	10439	8.1913452099595e-15	2.28919869705555
LOC81691	81691	8.29265804774297e-15	-2.43752076077778
SEMA3C	10512	1.00290941286974e-14	2.95730432211111
CDC45	8318	1.20855700702077e-14	-2.76400386211111
PPT2-EGFL8///EGFL8///PPT2	100532746///80864///9374	1.64087152375237e-14	-2.03449258177778
VNN3	55350	1.73617056025931e-14	3.16004723333334
PCSK5	5125	1.96885677010133e-14	2.85087787422222
CLEC4D	338339	2.29544344083099e-14	4.07871456777778
CDK6	1021	2.29544344083099e-14	-3.86836619688889
MTHFD1L	25902	2.34978970176898e-14	-1.69419446144445
HIST1H2AG	8969	2.40450095111108e-14	-2.86405523844444
RBP7	116362	2.89469114567434e-14	3.53573504827778
HACD1	9200	4.54437062228461e-14	-2.83452792433333
BUB1B	701	4.73528574280079e-14	-3.15592939161111
RASSF3	283349	4.8336731269457e-14	2.54219160816667
HPSE	10855	4.91786120106447e-14	3.22122181916667
C5AR2	27202	5.64012576312868e-14	2.78286210105555
CREB5	9586	5.68786786815097e-14	3.62810058883334
CLEC1A	51267	6.06520109890872e-14	2.40614118794445
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	6.06520109890872e-14	-3.4125293055
SECTM1	6398	7.00761939558318e-14	3.59728275555556
TPX2	22974	7.34131068681572e-14	-3.73660732111111
RTN1	6252	7.67125683514905e-14	3.19383642805556
KNTC1	9735	9.12670661099959e-14	-2.45040504022222
CRISPLD2	83716	1.02314787769415e-13	3.39407965133334
EVI5	7813	1.43132910213307e-13	2.4244792375
NUAK2	81788	1.43467869244271e-13	2.49776437311111
		1.51133192551189e-13	-1.47564868555556
SCML2	10389	1.60618736458705e-13	-3.19492467666667
LINC00324	284029	1.98317274852016e-13	1.97179690738889
WDHD1	11169	1.99452734783544e-13	-3.08012011938889
XRCC2	7516	2.109947649634e-13	-3.05745873338889
CHEK1	1111	2.28871520174234e-13	-3.41510097811111
NPR3	4883	2.28871520174234e-13	-4.44652740705556
SASH1	23328	2.36151109093133e-13	2.62514910627778
GPR155	151556	2.38515109272513e-13	2.92935460177778
ANKRD36B	57730	2.81428349969072e-13	-2.47354781538889
CYP1B1	1545	2.81428349969072e-13	4.96931965811111
CIT	11113	2.90633369269076e-13	-2.86049170816667
SLC27A2	11001	3.66894579465652e-13	-3.85462934044444
PELI3	246330	4.26838328321235e-13	1.38459479572222
ST6GALNAC3	256435	4.35908653190623e-13	2.65768887233334
HIST1H3D///HIST1H2AD	8351///3013	5.08061730451149e-13	-2.60310472766667
NPR3	4883	5.36115808501269e-13	-4.26849268044444
CD69	969	5.38176740127087e-13	-4.50643229633334
LDHB	3945	6.05713735539183e-13	-2.40881868583333
ZC3HAV1L	92092	6.06510352995959e-13	-3.02598226244445
FBXL5	26234	6.06510352995959e-13	1.63723848122222
MPO	4353	6.40447657066876e-13	-4.76807339166667
C3orf14	57415	6.40447657066876e-13	1.76535015694445
LIPN	643418	7.70672777578355e-13	3.61306986438889
IMPDH2	3615	7.9480340103718e-13	-1.86226555094444
RAB39A	54734	8.29880134810114e-13	2.59696452888889
TFPI	7035	8.31196001537503e-13	-4.09467084983333
KCNQ5	56479	8.41843257097264e-13	-3.36405796322222
NFAM1	150372	8.7694190228225e-13	2.50554541122222
MAD2L1	4085	9.57166065272442e-13	-3.18526215483333
		1.1123291234572e-12	-2.36517544583333
SMPDL3A	10924	1.16918492839512e-12	3.35107487722222
ITGA6	3655	1.19821607576956e-12	-4.047332478
PILRA	29992	1.28243895846349e-12	3.35345641283333
LILRA5	353514	1.33352400620553e-12	4.26813110355556
NCAPG	64151	1.33392603845013e-12	-3.82096161161111
LILRB2	10288	1.41502218972171e-12	3.58188852905556
PRC1	9055	1.5295221093015e-12	-3.08456874272222
SMC4	10051	1.54031811716587e-12	-2.29676294977778
SIRPD	128646	1.56518267338834e-12	2.70907114666667
FANCI	55215	1.64172589461773e-12	-2.92098366988889
PADI2	11240	1.67940410901887e-12	2.6461235545
RNASE4///ANG	6038///283	1.8850274602857e-12	2.54737313427778
RAB11FIP4	84440	1.89354534737998e-12	1.79255372233333
LILRA3	11026	1.96220907616419e-12	4.34274282038889
HIST1H3H///HIST1H2AI	8357///8329	2.06227898185606e-12	-3.35676472144444
LILRA2	11027	2.19057578121073e-12	3.39960146694445
CENPJ	55835	2.23563197745183e-12	-2.12521386
